Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,ConvertedDateTime,Year,Quarter,Day,Month,Date,Week
euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non #ullamcorper,8.26546E+15,2020-06-30 17:14 +0000,184,2,0.010869565,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30-06-2020 22:44:00,2020,Q2,30,June,30-Jun-20,Tuesday
sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue #nonummy,6.13184E+15,2020-06-30 12:13 +0000,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-06-2020 17:43:00,2020,Q2,30,June,30-Jun-20,Tuesday
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,3.10357E+14,2020-06-30 09:41 +0000,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-06-2020 15:11:00,2020,Q2,30,June,30-Jun-20,Tuesday
proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,2.97132E+14,2020-06-30 09:39 +0000,104,2,0.019230769,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30-06-2020 15:09:00,2020,Q2,30,June,30-Jun-20,Tuesday
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,6.81935E+14,2020-06-29 18:55 +0000,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-06-2020 00:25:00,2020,Q2,30,June,30-Jun-20,Tuesday
quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5.29047E+15,2020-06-29 17:54 +0000,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-06-2020 23:24:00,2020,Q2,29,June,29-Jun-20,Monday
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3.31226E+15,2020-06-29 17:54 +0000,250,1,0.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29-06-2020 23:24:00,2020,Q2,29,June,29-Jun-20,Monday
venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6.31724E+15,2020-06-29 17:52 +0000,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-06-2020 23:22:00,2020,Q2,29,June,29-Jun-20,Monday
quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas #lacinia,6.71183E+15,2020-06-28 15:44 +0000,257,1,0.003891051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28-06-2020 21:14:00,2020,Q2,28,June,28-Jun-20,Sunday
vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #nulla,3.80002E+14,2020-06-27 15:32 +0000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-06-2020 21:02:00,2020,Q2,27,June,27-Jun-20,Saturday
dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes #placerat,8.20992E+15,2020-06-27 14:16 +0000,22,2,0.090909091,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27-06-2020 19:46:00,2020,Q2,27,June,27-Jun-20,Saturday
vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat #amet,2.14126E+15,2020-06-26 21:43 +0000,551,1,0.001814882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27-06-2020 03:13:00,2020,Q2,27,June,27-Jun-20,Saturday
sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna #odio,1.29718E+15,2020-06-24 19:51 +0000,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-06-2020 01:21:00,2020,Q2,25,June,25-Jun-20,Thursday
scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis #ligula,5.60693E+15,2020-06-24 17:14 +0000,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24-06-2020 22:44:00,2020,Q2,24,June,24-Jun-20,Wednesday
phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula #venenatis,3.96792E+15,2020-06-22 18:03 +0000,91,1,0.010989011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22-06-2020 23:33:00,2020,Q2,22,June,22-Jun-20,Monday
massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a #nulla,4.24392E+15,2020-06-22 18:01 +0000,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22-06-2020 23:31:00,2020,Q2,22,June,22-Jun-20,Monday
sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus #quisque,9.57372E+15,2020-06-22 13:52 +0000,166,1,0.006024096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22-06-2020 19:22:00,2020,Q2,22,June,22-Jun-20,Monday
nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque #posuere,4.5654E+15,2020-06-19 17:48 +0000,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-06-2020 23:18:00,2020,Q2,19,June,19-Jun-20,Friday
integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh #tincidunt,6.98677E+15,2020-06-19 16:24 +0000,34,1,0.029411765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19-06-2020 21:54:00,2020,Q2,19,June,19-Jun-20,Friday
et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #luctus,5.14127E+15,2020-06-18 15:31 +0000,277,4,0.014440433,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18-06-2020 21:01:00,2020,Q2,18,June,18-Jun-20,Thursday
luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer #nunc,3.47298E+14,2020-06-17 17:28 +0000,52,1,0.019230769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17-06-2020 22:58:00,2020,Q2,17,June,17-Jun-20,Wednesday
lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat #sagittis,5.4566E+15,2020-06-17 16:29 +0000,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-06-2020 21:59:00,2020,Q2,17,June,17-Jun-20,Wednesday
rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique #rhoncus,3.65666E+15,2020-06-17 14:25 +0000,25,1,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17-06-2020 19:55:00,2020,Q2,17,June,17-Jun-20,Wednesday
vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis #bibendum,4.7207E+15,2020-06-15 15:28 +0000,197,1,0.005076142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15-06-2020 20:58:00,2020,Q2,15,June,15-Jun-20,Monday
venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst #ac,8.58662E+15,2020-06-14 15:49 +0000,281,1,0.003558719,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14-06-2020 21:19:00,2020,Q2,14,June,14-Jun-20,Sunday
donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #maecenas,4.62722E+15,2020-06-14 15:17 +0000,42,4,0.095238095,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14-06-2020 20:47:00,2020,Q2,14,June,14-Jun-20,Sunday
massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis #ut,7.57936E+15,2020-06-14 04:19 +0000,21,1,0.047619048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14-06-2020 09:49:00,2020,Q2,14,June,14-Jun-20,Sunday
vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus #magnis,7.02502E+15,2020-06-10 15:51 +0000,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-06-2020 21:21:00,2020,Q2,10,June,10-Jun-20,Wednesday
adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum #vivamus,4.41202E+15,2020-06-09 20:06 +0000,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-06-2020 01:36:00,2020,Q2,10,June,10-Jun-20,Wednesday
hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi #non,1.87281E+15,2020-06-09 19:55 +0000,72,1,0.013888889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10-06-2020 01:25:00,2020,Q2,10,June,10-Jun-20,Wednesday
urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla #ante,1.85257E+15,2020-06-04 01:06 +0000,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-06-2020 06:36:00,2020,Q2,4,June,04-Jun-20,Thursday
integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent #diam,6.69327E+15,2020-06-02 16:10 +0000,436,2,0.004587156,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,02-06-2020 21:40:00,2020,Q2,2,June,02-Jun-20,Tuesday
orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in #non,9.65152E+15,2020-06-02 01:14 +0000,737,3,0.004070556,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,02-06-2020 06:44:00,2020,Q2,2,June,02-Jun-20,Tuesday
quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam #eleifend,9.85022E+15,2020-07-31 20:02 +0000,459,1,0.002178649,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,01-08-2020 01:32:00,2020,Q3,1,August,01-Aug-20,Saturday
curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel #amet,9.24792E+15,2020-07-30 11:37 +0000,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-07-2020 17:07:00,2020,Q3,30,July,30-Jul-20,Thursday
posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus #sit,8.05412E+15,2020-07-29 17:39 +0000,174,1,0.005747126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29-07-2020 23:09:00,2020,Q3,29,July,29-Jul-20,Wednesday
nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non #magnis,5.93164E+15,2020-07-29 16:16 +0000,93,2,0.021505376,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29-07-2020 21:46:00,2020,Q3,29,July,29-Jul-20,Wednesday
